Enrollment_no,Name,Technology,Welcome_test,Presentation,Mini_projects,Hrskills,Project_presentation,Project_submission,Attendance,Discipline,Grade
1001,Neha Singh,AI,42,119,60,139,192,283,81,64,A++
1002,Meera Verma,Robotics,49,114,84,136,184,236,84,68,A++
1003,Ravi Joshi,IoT,44,143,83,135,223,218,83,60,A++
1004,Sana Rana,Robotics,48,111,98,116,197,234,87,66,A++
1005,Anjali Verma,Robotics,49,147,71,94,250,230,95,79,A++
1006,Sana Mehta,Java,39,110,65,131,235,237,80,95,A++
1007,Ravi Rana,IoT,38,120,63,124,206,254,71,69,A++
1008,Aryan Nair,Data Sci,48,129,72,142,160,251,95,62,A++
1009,Divya Roy,Web Dev,40,117,60,120,250,225,95,90,A++
1010,Aryan Rana,ML,50,131,68,91,218,231,76,95,A++
1011,Anjali Gupta,Web Dev,49,99,83,114,218,239,73,87,A++
1012,Sneha Deshmukh,Java,38,138,98,134,169,212,86,70,A++
1013,Vikas Sharma,Data Sci,38,132,68,146,189,293,71,89,A++
1014,Meera Yadav,IoT,49,120,92,141,186,274,94,60,A++
1015,Rohit Deshmukh,Data Sci,43,117,65,117,216,218,87,95,A++
1016,Meera Singh,Web Dev,44,150,72,127,225,251,78,69,A++
1017,Rohit Rana,Java,32,138,92,134,244,290,96,70,A++
1018,Aditya Kapoor,Robotics,46,108,66,108,182,262,73,97,A++
1019,Meera Gupta,ML,31,125,66,147,209,274,73,74,A++
1020,Sneha Deshmukh,ML,42,92,86,115,221,217,74,70,A++
1021,Sneha Rana,Robotics,43,121,63,104,245,210,95,61,A++
1022,Aryan Kapoor,Data Sci,34,112,86,140,217,219,81,67,A++
1023,Aditya Rana,ML,47,119,99,94,168,249,92,66,A++
1024,Anjali Sharma,Robotics,33,123,68,102,212,280,83,92,A++
1025,Sana Iyer,AI,33,124,79,132,173,300,78,72,A++
1026,Priya Iyer,Java,31,102,92,142,206,227,87,62,A++
1027,Aryan Deshmukh,Java,31,103,96,94,220,203,94,70,A++
1028,Divya Roy,Web Dev,44,106,64,99,231,289,76,77,A++
1029,Neha Deshmukh,Robotics,39,115,87,139,223,290,79,68,A++
1030,Rohit Gupta,Robotics,43,92,79,106,218,212,82,89,A++
1031,Nisha Yadav,Java,34,96,72,115,201,214,97,78,A++
1032,Ravi Deshmukh,Data Sci,32,123,95,112,161,295,85,64,A++
1033,Aryan Mehta,Java,36,132,67,149,238,283,77,75,A++
1034,Anjali Kapoor,Web Dev,43,140,100,136,176,255,91,69,A++
1035,Meera Sharma,AI,37,117,98,105,186,231,100,66,A++
1036,Divya Yadav,Java,47,119,60,133,205,200,73,100,A++
1037,Aditya Chawla,Data Sci,47,114,78,142,198,278,91,79,A++
1038,Karan Iyer,Data Sci,30,145,100,150,194,242,93,73,A++
1039,Sana Gupta,Java,31,137,71,118,195,279,91,86,A++
1040,Priya Chawla,IoT,43,98,74,137,237,222,98,81,A++
1041,Rahul Deshmukh,Robotics,40,92,75,119,232,207,82,66,A++
1042,Ravi Patel,Data Sci,50,114,84,134,227,291,72,92,A++
1043,Rahul Gupta,Java,38,149,69,143,221,226,76,94,A++
